# gsd	mle
128.8	-0.000232249
128.85	-0.000225187
128.9	-0.00021974
128.95	-0.000215508
129	-0.000212136
129.05	-0.000209507
129.1	-0.000207464
129.15	-0.000205892
129.2	-0.000204683
129.25	-0.00020374
129.3	-0.000203034
129.35	-0.000202466
129.4	-0.000202015
129.45	-0.000201578
129.5	-0.000201123
129.55	-0.000200704
129.6	-0.000200174
129.65	-0.000199506
129.7	-0.000198731
129.75	-0.000197845
129.8	-0.000196802
129.85	-0.000195598
129.9	-0.000194219
129.95	-0.000192661
130	-0.000190953
130.05	-0.000189069
130.1	-0.000187001
130.15	-0.000184849
130.2	-0.000182517
130.25	-0.000180047
130.3	-0.000177458
130.35	-0.000174799
130.4	-0.000172058
130.45	-0.000169235
130.5	-0.000166375
130.55	-0.000163442
130.6	-0.000160503
130.65	-0.000157558
130.7	-0.000154617
130.75	-0.000151677
130.8	-0.000148766
130.85	-0.000145872
130.9	-0.000143035
130.95	-0.000140226
131	-0.000137508
131.05	-0.00013485
131.1	-0.000132276
131.15	-0.000129786
131.2	-0.000127401
131.25	-0.00012511
131.3	-0.000122934
131.35	-0.000120879
131.4	-0.000118958
131.45	-0.000117178
131.5	-0.000115551
131.55	-0.000114086
131.6	-0.000112795
131.65	-0.00011171
131.7	-0.000110818
131.75	-0.000110166
131.8	-0.000109764
131.85	-0.000109627
131.9	-0.000109807
131.95	-0.000110325
132	-0.000111205
132.05	-0.000112562
132.1	-0.000114329
132.15	-0.000116685
132.2	-0.0001197
132.25	-0.000123464
132.3	-0.000128134
132.35	-0.000133894
132.4	-0.000141005
132.45	-0.000149807
132.5	-0.000160861
132.55	-0.000175022
132.6	-0.000193615
132.65	-0.000219416
132.7	-0.000259166
132.75	-0.000334792
132.8	-0.000477341
132.85	-0.00028807
132.9	-0.000223018
132.95	-0.000181661
133	-0.000151067
133.05	-0.000126609
133.1	-0.000106403
133.15	-8.91706e-05
133.2	-7.46056e-05
133.25	-6.22252e-05
133.3	-5.21048e-05
133.35	-4.40581e-05
133.4	-3.84509e-05
133.45	-3.56453e-05
133.5	-3.63311e-05
133.55	-4.17263e-05
133.6	-5.40389e-05
133.65	-7.80945e-05
133.7	-0.000127983
133.75	-0.000322805
133.8	-0.000133344
133.85	-4.78203e-05
133.9	1.77983e-06
133.95	3.62429e-05
134	6.12838e-05
134.05	7.93079e-05
134.1	9.13209e-05
134.15	9.7797e-05
134.2	9.88215e-05
134.25	9.40969e-05
134.3	8.27608e-05
134.35	6.20598e-05
134.4	2.0554e-05
134.45	-0.000150545
134.5	4.3082e-05
134.55	0.000125816
134.6	0.000277097
134.65	0.000402803
134.7	-2.92254e-05
134.75	-0.000205435
134.8	-0.000240923
134.85	-0.00016236
134.9	-0.000136267
134.95	-0.000124287
135	-0.000118588
135.05	-0.000116475
135.1	-0.000116724
135.15	-0.000118718
135.2	-0.000122117
135.25	-0.000126708
135.3	-0.000132317
135.35	-0.000138865
135.4	-0.00014614
135.45	-0.000154073
135.5	-0.00016236
135.55	-0.000170764
135.6	-0.000178937
135.65	-0.000186521
135.7	-0.000193086
135.75	-0.000198256
135.8	-0.000201777
135.85	-0.000203564
135.9	-0.000203701
135.95	-0.000202527
136	-0.000200722
136.05	-0.000199622
136.1	-0.000202033
136.15	-0.000214417
136.2	-0.000256109
136.25	-0.000371267
136.3	-0.000555729
136.35	-0.000485096
136.4	-0.000481266
136.45	-0.000491946
136.5	-0.000508968
136.55	-0.000318118
136.6	-0.000222984
136.65	-0.000155509
136.7	-0.000103414
136.75	-6.20405e-05
136.8	-2.9265e-05
136.85	-3.90636e-06
136.9	1.46658e-05
136.95	2.67927e-05
137	3.26448e-05
137.05	3.22569e-05
137.1	2.5499e-05
137.15	1.19561e-05
137.2	-9.32871e-06
137.25	-4.05613e-05
137.3	-8.73109e-05
137.35	-0.000169496
137.4	-0.000376997
137.45	-0.000166108
137.5	-0.0001149
137.55	-9.08775e-05
137.6	-7.97602e-05
137.65	-7.70446e-05
137.7	-8.10305e-05
137.75	-9.1366e-05
137.8	-0.000108857
137.85	-0.000136103
137.9	-0.000180366
137.95	-0.000271995
138	-0.000331924
138.05	-0.000198034
138.1	-0.000144285
138.15	-0.000111347
138.2	-8.86652e-05
138.25	-7.22827e-05
138.3	-6.0364e-05
138.35	-5.18595e-05
138.4	-4.61779e-05
138.45	-4.29219e-05
138.5	-4.18791e-05
138.55	-4.29451e-05
138.6	-4.61161e-05
138.65	-5.15172e-05
138.7	-5.94542e-05
138.75	-7.05347e-05
138.8	-8.58751e-05
138.85	-0.000107882
138.9	-0.00014233
138.95	-0.000209029
139	-0.000412295
139.05	-0.000171788
139.1	-9.99011e-05
139.15	-5.51627e-05
139.2	-2.39806e-05
139.25	-2.75021e-06
139.3	8.89173e-06
139.35	8.15574e-06
139.4	-3.03059e-05
139.45	9.32132e-06
139.5	0.000155361
139.55	0.000279798
139.6	0.000115941
139.65	6.39558e-05
139.7	3.89382e-05
139.75	2.48751e-05
139.8	1.6965e-05
139.85	1.28753e-05
139.9	1.11975e-05
139.95	1.09926e-05
140	1.15855e-05
140.05	1.24552e-05
140.1	1.31829e-05
140.15	1.33861e-05
140.2	1.27e-05
140.25	1.07204e-05
140.3	6.97475e-06
140.35	8.40208e-07
140.4	-8.53076e-06
140.45	-2.24334e-05
140.5	-4.29723e-05
140.55	-7.41204e-05
140.6	-0.000125204
140.65	-0.000234481
140.7	-0.000273864
140.75	-0.000185486
