# gsd	gsr	firingRate	maxFreq	ampFreq	ampOscil	class	meanEv	meanCT	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10
0.0001	0.000266	0	0.02	0.0229297	5.47003e-08	0	0	0	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
0.0001	0.000267	0	0.02	0.0165758	2.94765e-08	0	0	0	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
0.0001	0.000268	0	0.02	0.279972	1.27152e-06	0	0	0	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
0.0001	0.000269	0	0.02	0.0177026	3.37549e-08	0	0	0	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
0.0001	0.00027	0	0.02	0.0120822	3.27999e-08	0	0	0	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
0.0001	0.000271	0	0.02	0.0129633	2.8218e-08	0	0	0	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
0.0001	0.000272	0	0.02	0.0146668	3.26382e-08	0	0	0	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
0.0001	0.000273	0	0.02	0.0027934	6.2817e-09	0	0	0	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
0.0001	0.000274	0	0.02	0.0285073	6.80457e-08	0	0	0	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
0.0001	0.000275	0	0.02	0.0128164	2.47283e-08	0	0	0	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
0.0001	0.000276	0	0.02	0.0111075	3.28346e-08	0	0	0	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
0.0001	0.000277	0	0.02	0.0113079	2.13088e-08	0	0	0	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
0.0001	0.000278	0	0.02	0.0218046	4.33685e-08	0	0	0	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
0.0001	0.000279	0	0.04	0.0210962	4.38282e-08	0	0	0	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
0.0001	0.00028	0	0.02	0.0175813	3.8236e-08	0	0	0	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
0.0001	0.000281	0	0.02	0.0158696	3.85888e-08	0	0	0	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
0.0001	0.000282	0	0.02	0.0158057	3.28381e-08	0	0	0	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
0.0001	0.000283	0	0.02	0.0056484	1.96644e-08	0	0	0	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
0.0001	0.000284	0	0.02	0.0178577	9.49549e-08	0	0	0	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
0.0001	0.000285	0	0.02	0.0168784	6.97981e-08	0	0	0	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
0.0001	0.000286	0	0.02	0.0152866	3.5762e-08	0	0	0	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
0.0001	0.000287	0	0.02	0.013772	3.92978e-08	0	0	0	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
0.0001	0.000288	0	0.02	0.00646378	1.62453e-08	0	0	0	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
0.0001	0.000289	0	0.02	0.0143509	2.98267e-08	0	0	0	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
0.0001	0.00029	0	0.02	0.0158097	3.06372e-08	0	0	0	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
0.0001	0.000291	0	0.02	0.00910532	2.771e-08	0	0	0	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
0.0001	0.000292	0	0.02	0.0109644	2.48366e-08	0	0	0	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
0.0001	0.000293	0	0.02	0.00421041	1.0183e-08	0	0	0	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
0.0001	0.000294	0	0.02	0.0115353	3.31858e-08	0	0	0	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
0.0001	0.000295	0	0.02	0.0161438	4.08749e-08	0	0	0	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
0.0001	0.000296	0	0.02	0.0122825	3.00841e-08	0	0	0	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
0.0001	0.000297	0	0.02	0.0157534	3.60281e-08	0	0	0	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
0.0001	0.000298	0	0.02	0.0176431	4.16303e-08	0	0	0	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
0.0001	0.000299	0	0.02	0.0105154	2.272e-08	0	0	0	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
0.0001	0.0003	0	0.02	0.00380957	9.57451e-09	0	0	0	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
0.0001	0.000301	0	0.02	0.0106414	2.22316e-08	0	0	0	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
0.0001	0.000302	0	0.04	0.0192422	7.88466e-08	0	0	0	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
0.0001	0.000303	0	0.06	0.0262999	2.0943e-07	0	0	0	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
0.0001	0.000304	0	0.02	0.0157293	3.12973e-08	0	0	0	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
0.0001	0.000305	0	0.02	0.0162757	3.53204e-08	0	0	0	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
0.0001	0.000306	0	0.02	0.0170722	3.95892e-08	0	0	0	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
0.0001	0.000307	0	8.12	0.029598	3.53213e-07	0	0	0	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
0.0001	0.000308	0	0.02	0.0176472	3.80129e-08	0	0	0	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
0.0001	0.000309	0	0.02	0.0158151	4.2088e-08	0	0	0	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
0.0001	0.00031	0	0.04	0.0169894	9.77166e-08	0	0	0	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
0.0001	0.000311	0	0.02	0.0188974	9.78627e-08	0	0	0	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
0.0001	0.000312	0	0.02	0.0111986	2.3833e-08	0	0	0	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
0.0001	0.000313	0	0.02	0.00177204	3.93695e-09	0	0	0	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
0.0001	0.000314	0	0.02	0.0171265	4.04149e-08	0	0	0	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
0.0001	0.000315	0	0.02	0.0166443	4.33081e-08	0	0	0	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
0.0001	0.000316	0	0.02	0.015318	3.06999e-08	0	0	0	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
0.0001	0.000317	0	0.02	0.0159064	3.47886e-08	0	0	0	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
0.0001	0.000318	0	0.02	0.020026	3.43973e-08	0	0	0	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
0.0001	0.000319	0	0.02	0.00349819	7.54471e-09	0	0	0	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
0.0001	0.00032	0	0.02	0.00792285	1.99123e-08	0	0	0	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
0.0001	0.000321	0	0.02	0.0107474	2.71861e-08	0	0	0	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
0.0001	0.000322	0	0.02	0.0173021	4.3109e-08	0	0	0	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
0.0001	0.000323	0	0.02	0.0176739	4.06908e-08	0	0	0	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
0.0001	0.000324	0	0.02	0.00965365	2.25939e-08	0	0	0	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
0.0001	0.000325	0	0.02	0.0148055	4.07559e-08	0	0	0	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
0.0001	0.000326	0	0.02	0.0107828	2.39175e-08	0	0	0	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
0.0001	0.000327	0	0.06	0.013297	4.1865e-08	0	0	0	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
0.0001	0.000328	0	0.02	0.00517205	2.95868e-08	0	0	0	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
0.0001	0.000329	0	0.02	0.00895354	2.61126e-08	0	0	0	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
0.0001	0.00033	0	0.02	0.0169036	3.6186e-08	0	0	0	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
